model,source,n_samples,macro_f1,macro_precision,macro_recall,accuracy
A_B,1,1,1.0,1.0,1.0,1.0
A_B,4,2,1.0,1.0,1.0,1.0
A_B,6,3,1.0,1.0,1.0,1.0
A_B,gab,2086,0.6297326468900363,0.6298518171668475,0.6309485819785631,0.677372962607862
A_B,twitter,1747,0.5899868937015781,0.5847779488860789,0.5993713052052105,0.6903262736119061
D_B,1,1,1.0,1.0,1.0,1.0
D_B,4,2,1.0,1.0,1.0,1.0
D_B,6,3,0.5555555555555555,0.6666666666666666,0.5,0.6666666666666666
D_B,gab,2086,0.6452843038066327,0.6534114713906515,0.6400903381214577,0.6951102588686481
D_B,twitter,1747,0.6091734846521817,0.5984155748008525,0.6274536719286204,0.6966227819118489
